Nom officiel du restaurant;Rue;NPA;Localité;Téléphone;E-mail;Site Internet;Lien direct carte/menu;Type de cuisine;Terrasse;Horaires;Jours de fermeture;Date du menu;Date d'introduction;Date de récupération Web;Fourni par;Catégorie;Nom du plat;Description;Prix
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;À partager;Saucisse sèche sur planche et pain maison;Porc ou bœuf;14
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;À partager;Demi-planche de viande séchée et saucisse sèche;;18
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;À partager;Planche de viande séchée et saucisse sèche;;24
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;À partager;Petite assiette mélange;Viande séchée et Tête de Moine;18
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;À partager;Grande assiette mélange;Viande séchée et Tête de Moine;24
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Entrées;Sèche au lard;;18
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Salades;Petite assiette de salade;Duo;5.50
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Salades;Grande assiette de salade variée;;13
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Fondues;Fondue au fromage à l’ail;200 g par personne, dès 2 personnes;24
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Fondues;Fondue au fromage à l’ail des ours;200 g par personne;24
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Plats;Jambon, rösti, salade;;25.50
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Plats;Jambon sauce bolets, rösti, salade;;29.50
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Viandes;Filets mignons aux morilles;Rösti et salade;40
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Viandes;Tranches de porc à la crème;Rösti et salade;28
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Plats;Rösti sauce aux bolets;Salade;26.50
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Plats;Rösti sauce aux morilles;Salade;31.50
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Plats;Croûtes aux bolets;Salade;26.50
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Plats;Croûtes aux morilles;Salade;31.50
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Viandes;Steak de bœuf, beurre aux herbes;Pièce d’environ 230 g, rösti et salade;31.50
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Viandes;Steak de bœuf, sauce aux bolets;Pièce d’environ 230 g, rösti et salade;35.50
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Viandes;Steak de bœuf aux morilles;Pièce d’environ 230 g, rösti et salade;39.50
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Viandes spécialité;Entrecôte Clémesin;Pièce de bœuf de 300 g, sauce voronoff, rösti et salade;42
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Desserts;Meringues chantilly;;9.50
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Desserts;Demi-meringue chantilly;;7
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Desserts;Meringues glacées et chantilly;;12
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Desserts;Demi-meringue glacée et pointe de chantilly;;8.50
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Desserts;Cornet à la crème;;6
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Desserts;Coupe Danemark;Sauce chocolat chaude;12
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Desserts;Café glacé;Glace mocca, expresso et crème chantilly;10.50
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Desserts;Coupe Framboise;Framboises tièdes, glace vanille et chantilly;11
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Desserts;Coupe Bleue des glaciers;Pistache et absinthe;12.50
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Desserts;Coupe Général;Glace vanille et whisky;12.50
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Desserts;Coupe Couché de soleil;Sorbets pruneau et framboise, prunelle de Bourgogne;12.50
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Desserts;Coupe Avalanche;Pomme, poire et calvados;12.50
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Desserts;Coupe Colonel;Sorbet citron et vodka;12.50
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Desserts;Coupe Abricot;Sorbet abricot et eau-de-vie d’abricot;12.50
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Desserts;Coupe Poire;Sorbet poire et eau-de-vie de poire;12.50
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Desserts;Coupe Pomme;Sorbet pomme et eau-de-vie de pomme;12.50
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Desserts;Coupe Pruneau;Sorbet pruneau et eau-de-vie de pruneau;12.50
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Desserts;Boule de glace ou sorbet;Vanille, mocca, fraise, chocolat, caramel, pistache, abricot, pomme, poire, framboise, pruneau ou citron;4
Métairie de Clémesin;Route de Clémesin 28;2057;Villiers;032 853 14 18;;;;Cuisine suisse, cuisine régionale, spécialités au fromage, rösti, viandes et champignons;Oui;;;2026;23.07.2026;23.07.2026;Photos utilisateur;Desserts;Supplément chantilly;;1.50
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Entrées;Salade verte;;6.50
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Salades;Salade mêlée;Petite ou grande;8.50 / 16
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Entrées;Gaspacho;Tomates et légumes de saison;11
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Entrées;Gravlax de truite;Condiment au LVDD et pickles;21
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Entrées;Vitello tonnato;Pickles et câpres;21.50
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Entrées;Terrine maison;Bouquet de salade, pickles et pains toastés;18.50
