Nom officiel du restaurant;Rue;NPA;Localité;Téléphone;E-mail;Site Internet;Lien direct carte/menu;Type de cuisine;Terrasse;Horaires;Jours de fermeture;Date du menu;Date d'introduction;Date d'introduction du fichier;Date de récupération Web;Fourni par;Origine du contributeur;Catégorie;Nom du plat;Description;Prix
Brasserie Le Cardinal;Rue du Seyon 9;2000;Neuchâtel;032 725 12 86;info@lecardinal-brasserie.ch;https://www.lecardinal-brasserie.ch;;Brasserie;;;;;;;;;;;;;
Brasserie Le Cardinal;Rue du Seyon 9;2000;Neuchâtel;032 725 12 86;info@lecardinal-brasserie.ch;https://www.lecardinal-brasserie.ch;;Brasserie;;;;;;;;;;;;;
Brasserie Le Cardinal;Rue du Seyon 9;2000;Neuchâtel;032 725 12 86;info@lecardinal-brasserie.ch;https://www.lecardinal-brasserie.ch;;Brasserie;;;;;;;;;;;;;
Brasserie Le Cardinal;Rue du Seyon 9;2000;Neuchâtel;032 725 12 86;info@lecardinal-brasserie.ch;https://www.lecardinal-brasserie.ch;;Brasserie;;;;;;;;;;;;;
Brasserie Le Cardinal;Rue du Seyon 9;2000;Neuchâtel;032 725 12 86;info@lecardinal-brasserie.ch;https://www.lecardinal-brasserie.ch;;Brasserie;;;;;;;;;;;;;
Brasserie Le Cardinal;Rue du Seyon 9;2000;Neuchâtel;032 725 12 86;info@lecardinal-brasserie.ch;https://www.lecardinal-brasserie.ch;;Brasserie;;;;;;;;;;;;;
Brasserie Le Cardinal;Rue du Seyon 9;2000;Neuchâtel;032 725 12 86;info@lecardinal-brasserie.ch;https://www.lecardinal-brasserie.ch;;Brasserie;;;;;;;;;;;;;
Brasserie Le Cardinal;Rue du Seyon 9;2000;Neuchâtel;032 725 12 86;info@lecardinal-brasserie.ch;https://www.lecardinal-brasserie.ch;;Brasserie;;;;;;;;;;;;;
La Charrue;Route de la Côtière 14;2063;Vilars;032 852 08 52;;https://lacharrue.ch;https://lacharrue.ch/nos-menus/;Cuisine traditionnelle;;;;;;;;;;;;;
La Charrue;Route de la Côtière 14;2063;Vilars;032 852 08 52;;https://lacharrue.ch;https://lacharrue.ch/nos-menus/;Cuisine traditionnelle;;;;;;;;;;;;;
La Charrue;Route de la Côtière 14;2063;Vilars;032 852 08 52;;https://lacharrue.ch;https://lacharrue.ch/nos-menus/;Cuisine traditionnelle;;;;;;;;;;;;;
La Charrue;Route de la Côtière 14;2063;Vilars;032 852 08 52;;https://lacharrue.ch;https://lacharrue.ch/nos-menus/;Cuisine traditionnelle;;;;;;;;;;;;;
La Charrue;Route de la Côtière 14;2063;Vilars;032 852 08 52;;https://lacharrue.ch;https://lacharrue.ch/nos-menus/;Cuisine traditionnelle;;;;;;;;;;;;;
La Charrue;Route de la Côtière 14;2063;Vilars;032 852 08 52;;https://lacharrue.ch;https://lacharrue.ch/nos-menus/;Cuisine traditionnelle;;;;;;;;;;;;;
La Charrue;Route de la Côtière 14;2063;Vilars;032 852 08 52;;https://lacharrue.ch;https://lacharrue.ch/nos-menus/;Cuisine traditionnelle;;;;;;;;;;;;;
La Charrue;Route de la Côtière 14;2063;Vilars;032 852 08 52;;https://lacharrue.ch;https://lacharrue.ch/nos-menus/;Cuisine traditionnelle;;;;;;;;;;;;;
